id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,political_party
1380040136914829312,1380039667467366402,1617862183000.0,2021-04-08 01:09:43,-500,,@Peru_APP 🅰️🅰️2️⃣✍🏻🇵🇪  https://t.co/H8EFf2pNHB,und,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,4,1,https://twitter.com/robertochiabra/status/1380040136914829312,[],"['https://pbs.twimg.com/media/EybjLzOXMAARl3f.jpg', 'https://pbs.twimg.com/media/EybjLzfWQAEe72U.jpg']",1,https://pbs.twimg.com/media/EybjLzOXMAARl3f.jpg,False,27,2,7,,None,,,,,,,[],,,,,alianza_progreso
1380039667467366402,1380039667467366402,1617862071000.0,2021-04-08 01:07:51,-500,,“Propongo una agenda de seguridad orientada a poner orden con mano firme”@Peru_APP 🅰️🅰️2️⃣✍🏻🇵🇪  https://t.co/WgYZyrsAk9,es,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,4,1,https://twitter.com/robertochiabra/status/1380039667467366402,[],"['https://pbs.twimg.com/media/EybiwMVWUAAUXtN.jpg', 'https://pbs.twimg.com/media/EybiwMSXIAIIh6h.jpg', 'https://pbs.twimg.com/media/EybiwMPW8AAN2iT.jpg', 'https://pbs.twimg.com/media/EybiwMTXAAAYx68.jpg']",1,https://pbs.twimg.com/media/EybiwMVWUAAUXtN.jpg,False,79,6,16,,None,,,,,,,[],,,,,alianza_progreso
1379677155274153986,1379592723611652105,1617775641000.0,2021-04-07 01:07:21,-500,,“Servir a la Patria en un Honor y un deber Voluntario”@Peru_APP  Cenepa 1995.🇵🇪 🅰️2️⃣✍🏻🇵🇪  https://t.co/XgYs4SiBUF,es,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,3,1,https://twitter.com/robertochiabra/status/1379677155274153986,[],['https://pbs.twimg.com/media/EyWZDuNXEAIhZnX.jpg'],1,https://pbs.twimg.com/media/EyWZDuNXEAIhZnX.jpg,False,105,3,9,,None,,,,,,,[],,,,,alianza_progreso
1379676410562949122,1379592723611652105,1617775464000.0,2021-04-07 01:04:24,-500,,@Peru_APP #PeruVotaSeguro  INCREIBLE NI EL ENEMIGO NOS HUBIERA HECHO ESTO ..!!! NI EL ENEMIGO..!!! EN PLENA DEMOCRACIA 🅰️2️⃣✍🏻🇵🇪  https://t.co/5S4CoVnhUP,es,['peruvotaseguro'],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,3,1,https://twitter.com/robertochiabra/status/1379676410562949122,[],['https://pbs.twimg.com/media/EyWYYUrXAAIFieZ.jpg'],1,https://pbs.twimg.com/media/EyWYYUrXAAIFieZ.jpg,False,54,2,7,,None,,,,,,,[],,,,,alianza_progreso
1379592723611652105,1379592723611652105,1617755511000.0,2021-04-06 19:31:51,-500,,INCREIBLE NI EL ENEMIGO NOS HUBIERA HECHO ESTO...!!!! NI EL ENEMIGO....!!! EN PLENA DEMOCRACIA....!!!!! @Peru_APP #PeruVotaSeguro 🅰️🅰️2️⃣✍🏻🇵🇪  https://t.co/GLq9ifwIjH,es,['peruvotaseguro'],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,2,19,https://twitter.com/robertochiabra/status/1379592723611652105,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1379592541524406272/pu/img/YSs4yLDMcR_cAfI5.jpg,False,238,32,57,,None,,,,,,,[],,,,,alianza_progreso
1379180480935952387,1379160360591179780,1617657225000.0,2021-04-05 16:13:45,-500,,@BryanLeopoldo96 @Luangzapbush 🇵🇪🤝,und,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,1,16,https://twitter.com/robertochiabra/status/1379180480935952387,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'BryanLeopoldo96', 'name': 'Leopoldo Huerta', 'id': '1098183752562499591'}, {'screen_name': 'Luangzapbush', 'name': 'Luis Angel Zapata', 'id': '729343899517497344'}]",,,,,alianza_progreso
1378810863872847875,1378810863872847875,1617569101000.0,2021-04-04 15:45:01,-500,,“Servir a la Patria es un Honor y un deber voluntario”  Cenepa 1995. 🇵🇪  @Peru_APP @EjercitoPeru  https://t.co/FS5SylnQ5t,es,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,7,15,https://twitter.com/robertochiabra/status/1378810863872847875,[],['https://pbs.twimg.com/media/EyKFK4_WEAAUmIs.jpg'],1,https://pbs.twimg.com/media/EyKFK4_WEAAUmIs.jpg,False,361,25,43,,None,,,,,,,[],,,,,alianza_progreso
1378120025521979392,1378120025521979392,1617404392000.0,2021-04-02 17:59:52,-500,,@Peru_APP @ONPE_oficial @BancadaAPP 🅰️🅰️2️⃣✍🏻🇵🇪  https://t.co/vxTvi93Ms7,und,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,5,17,https://twitter.com/robertochiabra/status/1378120025521979392,[],['https://pbs.twimg.com/media/EyAQ2k_XIAY0rKC.jpg'],1,https://pbs.twimg.com/media/EyAQ2k_XIAY0rKC.jpg,False,1,0,1,,None,,,,,,,[],,,,,alianza_progreso
1377802503752912901,1377802503752912901,1617328689000.0,2021-04-01 20:58:09,-500,,@Peru_APP 🅰️🅰️2️⃣✍🏻🇵🇪  https://t.co/f8Le500jBj,und,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,4,20,https://twitter.com/robertochiabra/status/1377802503752912901,[],['https://pbs.twimg.com/media/Ex7wEZZWYAQ7l-6.jpg'],1,https://pbs.twimg.com/media/Ex7wEZZWYAQ7l-6.jpg,False,7,0,2,,None,,,,,,,[],,,,,alianza_progreso
1377087048482484232,1377087048482484232,1617158112000.0,2021-03-30 21:35:12,-500,,@willaxtv @Peru_APP #Combutters 🅰️🅰️2️⃣✍🏻🇵🇪  https://t.co/BHQAPL2Vuw,und,['combutters'],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,2,21,https://twitter.com/robertochiabra/status/1377087048482484232,[],['https://pbs.twimg.com/media/ExxlXPZXEAA3BZX.jpg'],1,https://pbs.twimg.com/media/ExxlXPZXEAA3BZX.jpg,False,19,0,6,,None,,,,,,,[],,,,,alianza_progreso
1376752661224169479,1376752661224169479,1617078387000.0,2021-03-29 23:26:27,-500,,@Peru_APP @PBOPeru @exitosape @ExpresoPeru @Gestionpe @rmapalacios @MilagrosLeivaG @canalN_ @Agencia_Andina @elcomercio_peru @Politica_LR  🅰️🅰️2️⃣✍🏻 Gral Roberto Chiabra León “Líder de las Tropas Peruanas que Pelearon y Vencieron en el Cenepa”  https://t.co/YZ0XA13uer,es,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,1,23,https://twitter.com/robertochiabra/status/1376752661224169479,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1376752451823529986/pu/img/8ajAVgxda61VF8no.jpg,False,10,0,3,,None,,,,,,,[],,,,,alianza_progreso
1376727954277855234,1376727954277855234,1617072497000.0,2021-03-29 21:48:17,-500,,@canalN_ @Peru_APP #outsider 🅰️🅰️2️⃣✍🏻🇵🇪  https://t.co/WT5jc1oq2J,und,['outsider'],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,1,21,https://twitter.com/robertochiabra/status/1376727954277855234,[],['https://pbs.twimg.com/media/ExsewYdWgAAFJj8.jpg'],1,https://pbs.twimg.com/media/ExsewYdWgAAFJj8.jpg,False,9,1,6,,None,,,,,,,[],,,,,alianza_progreso
1376248202719068160,1376248202719068160,1616958115000.0,2021-03-28 14:01:55,-500,,“Hay familias que han vendido hasta su casa por comprar oxígeno.Y algunos creen que los van a ayudar cambiando la Constitución.Hay algunos candidatos que no han organizado nada en su vida y quieren dirigir un país”@Peru_APP @exitosape 🅰️🅰️2️⃣ #PeruVotaSeguro,es,['peruvotaseguro'],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,7,14,https://twitter.com/robertochiabra/status/1376248202719068160,[],[],0,,False,533,21,171,,None,,,,,,,[],,,,,alianza_progreso
1375617973763907585,1375617973763907585,1616807857000.0,2021-03-26 20:17:37,-500,,@Peru_APP 🅰️🅰️2️⃣✍🏻🇵🇪  https://t.co/RHsLlfpK7k,und,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,5,20,https://twitter.com/robertochiabra/status/1375617973763907585,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1375617928494780419/pu/img/tiEq4nJIsR9vI0eM.jpg,False,3,0,2,,None,,,,,,,[],,,,,alianza_progreso
1375266207482413056,1375266207482413056,1616723989000.0,2021-03-25 20:59:49,-500,,@Peru_APP ✍🏻🅰️🅰️2️⃣🇵🇪 #RobertoChiabra #Votoseguro2021  https://t.co/Zsytu4tT7D,und,"['robertochiabra', 'votoseguro2021']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,4,20,https://twitter.com/robertochiabra/status/1375266207482413056,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1375266102855528448/pu/img/Xz_zpwpW3dIkDV4n.jpg,False,26,1,8,,None,,,,,,,[],,,,,alianza_progreso
1374930971385073665,1374930971385073665,1616644063000.0,2021-03-24 22:47:43,-500,,@Peru_APP @PBOPeru @MindefPeru  🅰️🅰️2️⃣✍🏻🇵🇪 #RobertoChiabra  https://t.co/7WGlUfmLQW,und,['robertochiabra'],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,3,22,https://twitter.com/robertochiabra/status/1374930971385073665,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1374930542135742466/pu/img/__s1WmgtRZ3y_LSa.jpg,False,3,0,2,,None,,,,,,,[],,,,,alianza_progreso
1374891007263793160,1374891007263793160,1616634535000.0,2021-03-24 20:08:55,-500,,@Peru_APP 🅰️🅰️2️⃣✍🏻🇵🇪  https://t.co/0q6wSK8HXm,und,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,3,20,https://twitter.com/robertochiabra/status/1374891007263793160,[],['https://pbs.twimg.com/media/ExSYFBWWYAI6UTC.jpg'],1,https://pbs.twimg.com/media/ExSYFBWWYAI6UTC.jpg,False,3,0,1,,None,,,,,,,[],,,,,alianza_progreso
1374567035989020676,1374567035989020676,1616557294000.0,2021-03-23 22:41:34,-500,,@Peru_APP ✍🏻🅰️🅰️2️⃣🇵🇪  https://t.co/X8QqoCmPvX,und,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,2,22,https://twitter.com/robertochiabra/status/1374567035989020676,[],['https://pbs.twimg.com/media/ExNxbZpWEAAlySe.jpg'],1,https://pbs.twimg.com/media/ExNxbZpWEAAlySe.jpg,False,2,0,0,,None,,,,,,,[],,,,,alianza_progreso
1374195011353468929,1374195011353468929,1616468596000.0,2021-03-22 22:03:16,-500,,#Combatientes  1. Beneficios irrestrictos para licenciados del servicio militar en universidades públicas. 2. Los Beneficios salariales para combatientes no pueden parar. 3. Ampliaremos el Registro. @Peru_APP  #RobertoChiabra ✍🏻🅰️🅰️2️⃣ 🇵🇪 #Perú #PeruVotaSeguro,es,"['combatientes', 'robertochiabra', 'perú', 'peruvotaseguro']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,1,22,https://twitter.com/robertochiabra/status/1374195011353468929,[],[],0,,False,87,3,16,,None,,,,,,,[],,,,,alianza_progreso
1374183665811476486,1374183665811476486,1616465891000.0,2021-03-22 21:18:11,-500,,@Peru_APP #RobertoChiabra ✍🏻✍🏻✍🏻✍🏻🅰️🅰️2️⃣🇵🇪 #Combatientes #Licenciados @MindefPeru @EjercitoPeru  https://t.co/TabkA8NQ0y,und,"['robertochiabra', 'combatientes', 'licenciados']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,1,21,https://twitter.com/robertochiabra/status/1374183665811476486,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1374183410219020290/pu/img/oqM6iTC7cQM_QfYt.jpg,False,5,1,1,,None,,,,,,,[],,,,,alianza_progreso
1373521525211598848,1373521525211598848,1616308025000.0,2021-03-21 01:27:05,-500,,@Peru_APP #Perú #VotoInformado2021 ✍🏻🅰️🅰️2️⃣ #RobertoChiabra 🇵🇪  https://t.co/mRMMnwGqO6,und,"['perú', 'votoinformado2021', 'robertochiabra']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,7,1,https://twitter.com/robertochiabra/status/1373521525211598848,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1373521421947768835/pu/img/XXzf9PUOil73zYrh.jpg,False,5,1,2,,None,,,,,,,[],,,,,alianza_progreso
1373158348107972608,1373158348107972608,1616221436000.0,2021-03-20 01:23:56,-500,,@Peru_APP ✍🏻🅰️🅰️2️⃣ 🇵🇪 #RobertoChiabra #EncuestaCongreso @IdicePeru  #VotoResponsable2021  https://t.co/zFVsNVHzFg,und,"['robertochiabra', 'encuestacongreso', 'votoresponsable2021']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,6,1,https://twitter.com/robertochiabra/status/1373158348107972608,[],['https://pbs.twimg.com/media/Ew5wO7yWYAM8gRj.jpg'],1,https://pbs.twimg.com/media/Ew5wO7yWYAM8gRj.jpg,False,1,1,1,,None,,,,,,,[],,,,,alianza_progreso
1373127189990940677,1373127189990940677,1616214008000.0,2021-03-19 23:20:08,-500,,@Peru_APP @CesarAcunaP #robertochiabra 🇵🇪✍🏻🅰️🅰️2️⃣ #PeruVotoSeguro 🇵🇪  https://t.co/V9jam2evsZ,und,"['robertochiabra', 'peruvotoseguro']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,5,23,https://twitter.com/robertochiabra/status/1373127189990940677,[],['https://pbs.twimg.com/media/Ew5T5QIW8AE8XES.jpg'],1,https://pbs.twimg.com/media/Ew5T5QIW8AE8XES.jpg,False,4,0,1,,None,,,,,,,[],,,,,alianza_progreso
1372951131299717125,1372951131299717125,1616172032000.0,2021-03-19 11:40:32,-500,,@Peru_APP @IdicePeru #encuestas #robertochiabra 🇵🇪🇵🇪 #Perú @CesarAcunaP 🇵🇪🇵🇪  https://t.co/dhU0NWx6ry,und,"['encuestas', 'robertochiabra', 'perú']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,5,11,https://twitter.com/robertochiabra/status/1372951131299717125,[],['https://pbs.twimg.com/media/Ew2zxWkW8AUfpqI.jpg'],1,https://pbs.twimg.com/media/Ew2zxWkW8AUfpqI.jpg,False,43,70,38,,None,,,,,,,[],,,,,alianza_progreso
1372753395732279296,1372753395732279296,1616124888000.0,2021-03-18 22:34:48,-500,,@Peru_APP  Gral Roberto Chiabra León “Líder de la Tropas Peruanas que Pelearon y Vencieron en el Cenepa” 🇵🇪🇵🇪🇵🇪#robertochiabra #APP2  https://t.co/FMIUcLFdP6,es,"['robertochiabra', 'app2']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,4,22,https://twitter.com/robertochiabra/status/1372753395732279296,[],['https://pbs.twimg.com/media/Ewz_7mNUUAQU2WV.jpg'],1,https://pbs.twimg.com/media/Ewz_7mNUUAQU2WV.jpg,False,11,2,4,,None,,,,,,,[],,,,,alianza_progreso
1372748743976493058,1372748743976493058,1616123779000.0,2021-03-18 22:16:19,-500,,@Peru_APP #robertochiabra 🇵🇪🇵🇪🇵🇪🇵🇪  https://t.co/NtCzvj4LyF,und,['robertochiabra'],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,4,22,https://twitter.com/robertochiabra/status/1372748743976493058,[],['https://pbs.twimg.com/media/Ewz7svDVoAMWLKo.jpg'],1,https://pbs.twimg.com/media/Ewz7svDVoAMWLKo.jpg,False,3,1,1,,None,,,,,,,[],,,,,alianza_progreso
1372378203910705156,1372378203910705156,1616035436000.0,2021-03-17 21:43:56,-500,,@Peru_APP Gral Roberto Chiabra León #Perú MARCA LA “A” Y ESCRIBE EL “2” #Elecciones2021 #COVID19  https://t.co/l9x2NXFpi2,es,"['perú', 'elecciones2021', 'covid19']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,3,21,https://twitter.com/robertochiabra/status/1372378203910705156,[],['https://pbs.twimg.com/media/Ewuqsi2XEAEdKVt.jpg'],1,https://pbs.twimg.com/media/Ewuqsi2XEAEdKVt.jpg,False,6,1,3,,None,,,,,,,[],,,,,alianza_progreso
1372046270324469763,1372046270324469763,1615956296000.0,2021-03-16 23:44:56,-500,,#DebateElectoral #RoberoChiabra @Peru_APP  vs @sigridbazan via @Agencia_Andina @DiarioElPeruano  https://t.co/yUDTVgFvSr,und,"['debateelectoral', 'roberochiabra']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,2,23,https://twitter.com/robertochiabra/status/1372046270324469763,[],['https://pbs.twimg.com/media/Ewp8zNfWEAA8HO_.jpg'],1,https://pbs.twimg.com/media/Ewp8zNfWEAA8HO_.jpg,False,95,9,20,,None,,,,,,,[],,,,,alianza_progreso
1372009396579020801,1372009396579020801,1615947505000.0,2021-03-16 21:18:25,-500,, https://t.co/Y2qzMV6mZE ☝🏻☝🏻☝🏻☝🏻☝🏻☝🏻☝🏻☝🏻☝🏻☝🏻☝🏻☝🏻☝🏻🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪@Peru_APP  #Únete #ROBERTOCHIABRA2021 #APP2 “Servir a la patria es un Honor y un deber voluntario” #A2  https://t.co/t8e48Y0mFt,es,"['únete', 'robertochiabra2021', 'app2', 'a2']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,2,21,https://twitter.com/robertochiabra/status/1372009396579020801,['https://chat.whatsapp.com/EWF81VO9E672qchD9BTmYa'],['https://pbs.twimg.com/media/EwpbRJwXEAMaQm4.jpg'],1,https://pbs.twimg.com/media/EwpbRJwXEAMaQm4.jpg,False,36,3,8,,None,,,,,,,[],,,,,alianza_progreso
1371678282911977472,1371678282911977472,1615868561000.0,2021-03-15 23:22:41,-500,,@Peru_APP #ROBERTOCHIABRA🇵🇪🇵🇪🇵🇪 #Perú 🇵🇪🇵🇪🇵🇪  https://t.co/MgLMvA6gnZ,und,"['robertochiabra', 'perú']",[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,1,23,https://twitter.com/robertochiabra/status/1371678282911977472,[],['https://pbs.twimg.com/media/EwkuHzJWgAAezb7.jpg'],1,https://pbs.twimg.com/media/EwkuHzJWgAAezb7.jpg,False,1,0,0,,None,,,,,,,[],,,,,alianza_progreso
1371438008323481609,1371438008323481609,1615811275000.0,2021-03-15 07:27:55,-500,,Hoy participaré en una entrevista “Ánfora 2021”. Quedan invitados.  https://t.co/jSPZH5U4zI,es,[],[],1322165057833390080,1322165057833390080,robertochiabra,Roberto Chiabra 🇵🇪,1,7,https://twitter.com/robertochiabra/status/1371438008323481609,[],['https://pbs.twimg.com/media/EwhTmPTXMAE4Nsx.jpg'],1,https://pbs.twimg.com/media/EwhTmPTXMAE4Nsx.jpg,False,63,8,13,,None,,,,,,,[],,,,,alianza_progreso
