id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1378729898022428673,1378729898022428673,1617549797000.0,2021-04-04 10:23:17,-500,,"En mis constantes reuniones con comerciantes, he logrado escuchar sus problemas y temores para pagar créditos en esta época de pandemia; pero lo que prima es su convicción de salir adelante si los dejan trabajar.  ¡Con Hernando De Soto, vamos a reactivar la economía!  https://t.co/sGJHyViZSw",es,[],[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,7,10,https://twitter.com/1DianaGonzales/status/1378729898022428673,[],"['https://pbs.twimg.com/media/EyI7h2CWQAAhnFn.jpg', 'https://pbs.twimg.com/media/EyI7h2BWEAESU6K.jpg', 'https://pbs.twimg.com/media/EyI7h2AWgAAcpF5.jpg', 'https://pbs.twimg.com/media/EyI7h2AWYAYZJCC.jpg']",1,https://pbs.twimg.com/media/EyI7h2CWQAAhnFn.jpg,False,78,3,18,,None,,,,,,,[],,,,
1378403552884842499,1378403552884842499,1617471991000.0,2021-04-03 12:46:31,-500,,¡Los arequipeños estamos avanzando y no pararemos hasta el 11 de abril ! Hernando de Soto tiene las soluciones para los problemas que aquejan al país. En #Arequipa #TodosSomos1   #DianaAlCongreso 🚝🚝1️⃣🚝#HernandoDeSotoPresidente #AvanzaPais  https://t.co/E5OvzUxj78,es,"['arequipa', 'todossomos1', 'dianaalcongreso', 'hernandodesotopresidente', 'avanzapais']",[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,6,12,https://twitter.com/1DianaGonzales/status/1378403552884842499,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1378403450548072452/pu/img/rLPXg1TWjrfuvhJm.jpg,False,126,4,23,,None,,,,,,,[],,,,
1378061903973511172,1378051866089689090,1617390535000.0,2021-04-02 14:08:55,-500,,@percyromero @JovenesHDS @GrupoHDS2021 @GrupoHernando Seguimos sumando #TodosSomos1 #Arequipa #HernandoDeSotoPresidente,pt,"['todossomos1', 'arequipa', 'hernandodesotopresidente']",[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,5,14,https://twitter.com/1DianaGonzales/status/1378061903973511172,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'percyromero', 'name': 'Percy Romero', 'id': '141272520'}, {'screen_name': 'JovenesHDS', 'name': 'Movimiento Jóvenes con Hernando de Soto', 'id': '1329587501632286724'}, {'screen_name': 'GrupoHernando', 'name': 'INDEPEDIENTES CON HERNANDO DE SOTO', 'id': '1343418202265710592'}]",,,,
1377384279395602435,1377384279395602435,1617228977000.0,2021-03-31 17:16:17,-500,,En #Arequipa #TodosSomos1 #HernandoDeSotoPresidente #DianaAlCongreso  https://t.co/lK5oedItTy,und,"['arequipa', 'todossomos1', 'hernandodesotopresidente', 'dianaalcongreso']",[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,3,17,https://twitter.com/1DianaGonzales/status/1377384279395602435,[],"['https://pbs.twimg.com/media/Ex1zsjzW8AIP4hT.jpg', 'https://pbs.twimg.com/media/Ex1zsj_XAAI08h4.jpg', 'https://pbs.twimg.com/media/Ex1zskAW8AcAXk-.jpg', 'https://pbs.twimg.com/media/Ex1zsj_XMAMYsM-.jpg']",1,https://pbs.twimg.com/media/Ex1zsjzW8AIP4hT.jpg,False,12,2,3,,None,,,,,,,[],,,,
1377321825269600260,1377321825269600260,1617214087000.0,2021-03-31 13:08:07,-500,,@Diario_SF #Arequipa Hoy hablamos de cómo mejorar la #educación en nuestro país. ¡Con @HDeSotoPeru lo haremos! #HernandoDeSotoPresidente #AvanzaPaís #TodosSomos1  https://t.co/waAzKvBIp4,es,"['arequipa', 'educación', 'hernandodesotopresidente', 'avanzapaís', 'todossomos1']",[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,3,13,https://twitter.com/1DianaGonzales/status/1377321825269600260,[],['https://pbs.twimg.com/media/Ex065U4XMAUnY6B.jpg'],1,https://pbs.twimg.com/media/Ex065U4XMAUnY6B.jpg,False,0,0,0,,None,,,,,,,[],,,,
1376886736140304388,1376886736140304388,1617110353000.0,2021-03-30 08:19:13,-500,,¡Únete al equipo de personeros! En #Arequipa #TodosSomos1 #HernandoDeSotoPresidente #DianaAlCongreso #AvanzaPaís  https://t.co/Ki9KgBMAnA,es,"['arequipa', 'todossomos1', 'hernandodesotopresidente', 'dianaalcongreso', 'avanzapaís']",[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,2,8,https://twitter.com/1DianaGonzales/status/1376886736140304388,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1376886685326266378/pu/img/bx9jRlokp0vy3y7P.jpg,False,49,2,9,,None,,,,,,,[],,,,
1376553175826587659,1376553175826587659,1617030826000.0,2021-03-29 10:13:46,-500,,¡Hoy hablamos de #Deporte en #Arequipa ! #TodosSomos1 #HernandoDeSotoPresidente #AvanzaPaís  https://t.co/L5lJrFIULD,es,"['deporte', 'arequipa', 'todossomos1', 'hernandodesotopresidente', 'avanzapaís']",[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,1,10,https://twitter.com/1DianaGonzales/status/1376553175826587659,[],['https://pbs.twimg.com/media/Exp_z9pWgAMM-Y5.jpg'],1,https://pbs.twimg.com/media/Exp_z9pWgAMM-Y5.jpg,False,39,2,5,,None,,,,,,,[],,,,
1375985408933310465,1375983263928496138,1616895460000.0,2021-03-27 20:37:40,-500,,@OscarFCPeru Gracias Óscar 💪🏼,es,[],[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,6,20,https://twitter.com/1DianaGonzales/status/1375985408933310465,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'OscarFCPeru', 'name': 'Oscar Fernández C', 'id': '127303177'}]",,,,
1375978332630745094,1375978332630745094,1616893773000.0,2021-03-27 20:09:33,-500,,"En #Arequipa #TodosSomos1 ¡Seguimos avanzando, porque si avanzas tú, #AvanzaPaís !#HernandoDeSoto #DeSotoSabe  https://t.co/G1JiwaeNXW",es,"['arequipa', 'todossomos1', 'avanzapaís', 'hernandodesoto', 'desotosabe']",[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,6,20,https://twitter.com/1DianaGonzales/status/1375978332630745094,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1375978291488772096/pu/img/jko0ZFvaisgUrVHY.jpg,False,42,5,8,,None,,,,,,,[],,,,
1375811788663586817,1375811788663586817,1616854066000.0,2021-03-27 09:07:46,-500,,#Caylloma seguimos sumando! En #Arequipa #TodosSomos1 ! #DianaAlCongreso #HernandoDeSotoPresidente 🚝🚝1️⃣🚝 #AvanzaPaís  https://t.co/iLC46kkKpX,es,"['caylloma', 'arequipa', 'todossomos1', 'dianaalcongreso', 'hernandodesotopresidente', 'avanzapaís']",[],274855926,274855926,1DianaGonzales,Diana Gonzales Delgado,6,9,https://twitter.com/1DianaGonzales/status/1375811788663586817,[],['https://pbs.twimg.com/media/ExfdhrhXEAQVEd1.jpg'],1,https://pbs.twimg.com/media/ExfdhrhXEAQVEd1.jpg,False,43,1,11,,None,,,,,,,[],,,,
