id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,political_party
1380953533088948224,1380694910702120962,1618079953000.0,2021-04-10 13:39:13,-500,,@Conanacen Es muy gracioso jajaja,es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,6,13,https://twitter.com/patty_juarez_/status/1380953533088948224,[],[],0,,False,35,2,1,,None,,,,,,,"[{'screen_name': 'Conanacen', 'name': 'Nina Centeno', 'id': '721121670'}]",,,,,fuerza_popular
1380754013503811585,1380622090064248839,1618032384000.0,2021-04-10 00:26:24,-500,,@javierocamponce @KeikoFujimori 👍,und,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,6,0,https://twitter.com/patty_juarez_/status/1380754013503811585,[],[],0,,False,5,1,1,,None,,,,,,,"[{'screen_name': 'javierocamponce', 'name': 'Javier Ocampo Ponce', 'id': '235396281'}, {'screen_name': 'KeikoFujimori', 'name': 'Keiko Fujimori', 'id': '53189543'}]",,,,,fuerza_popular
1380364856214294530,1380303991603482630,1617939602000.0,2021-04-08 22:40:02,-500,,"@peruchito30 @PFuerzaPopular @KeikoFujimori Gracias, un trabajo intenso, pero gratificante.",es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,4,22,https://twitter.com/patty_juarez_/status/1380364856214294530,[],[],0,,False,68,1,1,,None,,,,,,,"[{'screen_name': 'peruchito30', 'name': 'peruchito 30', 'id': '150427880'}, {'screen_name': 'PFuerzaPopular', 'name': 'Partido Político Fuerza Popular 🇵🇪', 'id': '721086806'}, {'screen_name': 'KeikoFujimori', 'name': 'Keiko Fujimori', 'id': '53189543'}]",,,,,fuerza_popular
1380119096176615424,1379915755857326085,1617881008000.0,2021-04-08 06:23:28,-500,,"@Patricia_Neyra @Arya_Tyrion Patricia suficiente con que cambien de canal si no les gusta, pero justificar la violencia verbal es injustificable.",es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,4,6,https://twitter.com/patty_juarez_/status/1380119096176615424,[],[],0,,False,5,9,0,,None,,,,,,,"[{'screen_name': 'Patricia_Neyra', 'name': 'Patricia', 'id': '213483685'}, {'screen_name': 'Arya_Tyrion', 'name': 'Milu', 'id': '34502771'}]",,,,,fuerza_popular
1379962037057556481,1379915755857326085,1617843562000.0,2021-04-07 19:59:22,-500,,"@julianaoxenford Mi solidaridad contigo Juliana, jamás se debe faltar el respeto a una mujer.",es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,3,19,https://twitter.com/patty_juarez_/status/1379962037057556481,[],[],0,,False,122,327,12,,None,,,,,,,"[{'screen_name': 'julianaoxenford', 'name': 'julianaoxenford', 'id': '1271961894685937670'}]",,,,,fuerza_popular
1379943714903236612,1379943714903236612,1617839194000.0,2021-04-07 18:46:34,-500,,Hoy estaré con Mavila Huertas en canal N a las 9:00 pm.,es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,3,18,https://twitter.com/patty_juarez_/status/1379943714903236612,[],[],0,,False,69,9,18,https://twitter.com/2021canalN/status/1379943319887831043,None,,,,,,,[],,,,,fuerza_popular
1379941417045393409,1379941417045393409,1617838646000.0,2021-04-07 18:37:26,-500,,"Si aún están en duda les envió un videito sobre cómo votar y la opción a escoger. Marca las 3 k para Presidente, Congreso y Parlamento Andino Para el Congreso escribe  K2 Mil gracias 🙏🙏  https://t.co/pXJGIVUa0Q",es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,3,18,https://twitter.com/patty_juarez_/status/1379941417045393409,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1379941115739181057/pu/img/5JLduLeY4EcnqL2b.jpg,False,70,5,21,,None,,,,,,,[],,,,,fuerza_popular
1379939933209640960,1379859776549584897,1617838292000.0,2021-04-07 18:31:32,-500,,@ugluis @gesneria Fake,en,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,3,18,https://twitter.com/patty_juarez_/status/1379939933209640960,[],[],0,,False,4,0,1,,None,,,,,,,"[{'screen_name': 'ugluis', 'name': 'ugluis', 'id': '32136515'}, {'screen_name': 'gesneria', 'name': 'Rocio Del P.', 'id': '338396633'}]",,,,,fuerza_popular
1379938720686686212,1379938720686686212,1617838003000.0,2021-04-07 18:26:43,-500,,"Señora @UrbanistaSol Ministra de Vivienda, cumpla con transferir inmediatamente a Sedapal el expediente técnico aprobado para su financiamiento y ejecución, PRIORIZE dentro de su presupuesto este proyecto que permitirá dotar de agua a150 AAHH de Comas e Independencia.@RaulDiazPe",es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,3,18,https://twitter.com/patty_juarez_/status/1379938720686686212,[],[],0,,False,57,1,11,,None,,,,,,,[],,,,,fuerza_popular
1379938334819168258,1379938334819168258,1617837911000.0,2021-04-07 18:25:11,-500,,"Con su mandil gastado pero orgullosa de vestirlo siempre, el cariño y el recuerdo del chino es inolvidable  #KeikoPresidenta2021 #k2  https://t.co/Ex2tWVL21K",es,"['keikopresidenta2021', 'k2']",[],317123504,317123504,patty_juarez_,Patricia Juarez,3,18,https://twitter.com/patty_juarez_/status/1379938334819168258,[],['https://pbs.twimg.com/media/EyaGmc1XAAAoaVO.jpg'],1,https://pbs.twimg.com/media/EyaGmc1XAAAoaVO.jpg,False,307,9,76,,None,,,,,,,[],,,,,fuerza_popular
1379936971682947075,1379936971682947075,1617837586000.0,2021-04-07 18:19:46,-500,,Lo más importante es escuchar a los amigos. ¡Gracias por compartir sus experiencias! #KeikoPresidenta2021  #k2  https://t.co/bdjGmsqaGM,es,"['keikopresidenta2021', 'k2']",[],317123504,317123504,patty_juarez_,Patricia Juarez,3,18,https://twitter.com/patty_juarez_/status/1379936971682947075,[],['https://pbs.twimg.com/media/EyaFXIzXMAMWVTO.jpg'],1,https://pbs.twimg.com/media/EyaFXIzXMAMWVTO.jpg,False,71,4,13,,None,,,,,,,[],,,,,fuerza_popular
1379936500499034116,1379936500499034116,1617837474000.0,2021-04-07 18:17:54,-500,,"Hoy día tocó Yerbateros en San Luis, con simpatizantes y dirigentes fujimoristas. ¡Seguimos avanzando! ¡ Vamos Keiko vamos, hasta Presidenta no paramos! Gracias amigos fujimoristas por ese corazón  tan grande🧡🧡🧡🧡🧡🧡🧡 #KeikoPresidenta2021 #k2  https://t.co/vx0zNeeQmZ",es,"['keikopresidenta2021', 'k2']",[],317123504,317123504,patty_juarez_,Patricia Juarez,3,18,https://twitter.com/patty_juarez_/status/1379936500499034116,[],['https://pbs.twimg.com/media/EyaE7xLWgAcT4zc.jpg'],1,https://pbs.twimg.com/media/EyaE7xLWgAcT4zc.jpg,False,156,3,37,,None,,,,,,,[],,,,,fuerza_popular
1379816263422255107,1379816263422255107,1617808807000.0,2021-04-07 10:20:07,-500,,"Lamento el fallecimiento del señor Domingo Paredes, esposo de la señora @LuzSalgado_R. Que el Señor lo tenga en su Gloria.",es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,3,10,https://twitter.com/patty_juarez_/status/1379816263422255107,[],[],0,,False,304,1,36,,None,,,,,,,[],,,,,fuerza_popular
1379812541421998080,1379812541421998080,1617807920000.0,2021-04-07 10:05:20,-500,,"Seguimos trabajando con mucha convicción, con la ilusión de llevar esperanza y poder materializar nuestras propuestas en Vitarte. Entregaremos servicios básicos, agua y títulos de propiedad, ¡si lo logramos!. Muchas gracias por permitirnos estar con uds.#KeikoPresidenta2021 #K2  https://t.co/3k8UjiqjER",es,"['keikopresidenta2021', 'k2']",[],317123504,317123504,patty_juarez_,Patricia Juarez,3,10,https://twitter.com/patty_juarez_/status/1379812541421998080,[],['https://pbs.twimg.com/media/EyYUMQkXAAgElmm.jpg'],1,https://pbs.twimg.com/media/EyYUMQkXAAgElmm.jpg,False,137,5,37,,None,,,,,,,[],,,,,fuerza_popular
1379581482574958594,1379581482574958594,1617752831000.0,2021-04-06 18:47:11,-500,,¡Vamos Keiko Vamos! ¡Cada vez más fuerte! ¡Vamos Keiko Vamos hasta Presidenta No Paramos!,es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,2,18,https://twitter.com/patty_juarez_/status/1379581482574958594,[],[],0,,False,326,32,92,https://twitter.com/CibernautasFP/status/1379577835254284289,None,,,,,,,[],,,,,fuerza_popular
1379260671196532741,1379253705455833093,1617676344000.0,2021-04-05 21:32:24,-500,,@SignoriTita @MilagrosLeivaG @KeikoFujimori Bien Tita!!!!,es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,1,21,https://twitter.com/patty_juarez_/status/1379260671196532741,[],[],0,,False,63,1,9,,None,,,,,,,"[{'screen_name': 'SignoriTita', 'name': 'Tita Signori', 'id': '956340089503690752'}, {'screen_name': 'MilagrosLeivaG', 'name': 'milagrosleiva', 'id': '224916991'}, {'screen_name': 'KeikoFujimori', 'name': 'Keiko Fujimori', 'id': '53189543'}]",,,,,fuerza_popular
1378901767962955779,1378889511917252610,1617590774000.0,2021-04-04 21:46:14,-500,,@JahirMichael @Renzoiban @KeikoFujimori Si conocieras el expediente completo estarías de acuerdo conmigo.,es,[],[],317123504,317123504,patty_juarez_,Patricia Juarez,7,21,https://twitter.com/patty_juarez_/status/1378901767962955779,[],[],0,,False,3,0,0,,None,,,,,,,"[{'screen_name': 'JahirMichael', 'name': 'M. Jahir', 'id': '1306983069245677569'}, {'screen_name': 'Renzoiban', 'name': 'Renzo Ibáñez', 'id': '252040220'}, {'screen_name': 'KeikoFujimori', 'name': 'Keiko Fujimori', 'id': '53189543'}]",,,,,fuerza_popular
