id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,political_party
1380951845300957184,1380951845300957184,1618079551000.0,2021-04-10 13:32:31,-500,,"Cita esto con una foto tuya que alguien te tomó.  No se permiten selfies, puede ser antigua o nueva  https://t.co/to7sulJj4d",es,[],[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,6,13,https://twitter.com/EdMalagaTrillo/status/1380951845300957184,[],['https://pbs.twimg.com/media/EyogYdtWYAEEKv5.jpg'],1,https://pbs.twimg.com/media/EyogYdtWYAEEKv5.jpg,False,456,22,27,https://twitter.com/LalyGoyzueta/status/1380910468102041600,None,,,,,,,[],,,,,partido_morado
1380899009024425987,1380893587584483332,1618066954000.0,2021-04-10 10:02:34,-500,,"@rleonvelarde Hay también su póster de los Beatles en el lab, y en mis bandas de chibolo siempre hacíamos covers de ellos, así que bronca no hay, para nada :)  Se admira, y mucho a los Beatles pero, pero para mí el rocanrol, la actitud, la rebeldía están en la otra orilla :)  https://t.co/WUpGeg5z1T",es,[],[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,6,10,https://twitter.com/EdMalagaTrillo/status/1380899009024425987,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1380898948760616963/pu/img/A02vCrm5Kmu17gpr.jpg,False,8,2,1,,None,,,,,,,"[{'screen_name': 'rleonvelarde', 'name': 'Renzo Leon Velarde', 'id': '262471560'}]",,,,,partido_morado
1380893587584483332,1380893587584483332,1618065661000.0,2021-04-10 09:41:01,-500,,"Me parece saludable algo de silencio electoral. El ruido no deja pensar, y pensar es muy necesario hoy  Yo leeré comentarios y saludos con interés y agradecimiento pero guardaré silencio político -ni LK ni RT- hasta que cierren las mesas  Gracias por su comprensión y buen sábado!",es,[],[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,6,9,https://twitter.com/EdMalagaTrillo/status/1380893587584483332,[],[],0,,False,608,26,43,https://twitter.com/EdMalagaTrillo/status/1380889715797266437,None,,,,,,,[],,,,,partido_morado
1380889715797266437,1380889715797266437,1618064738000.0,2021-04-10 09:25:38,-500,,"Yo había entendido que a partir de la medianoche de anoche, la ley electoral prohíbe a todo candidato hacer proselitismo en medios. Asumo que esto debería aplicar para redes pero leo a no pocos candidatos aún posteando contenido electoral. Es Twitter zona gris?",es,[],[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,6,9,https://twitter.com/EdMalagaTrillo/status/1380889715797266437,[],[],0,,False,983,61,117,,None,,,,,,,[],,,,,partido_morado
1380882110576271365,1380882110576271365,1618062925000.0,2021-04-10 08:55:25,-500,,Leer tres veces 👇,es,[],[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,6,8,https://twitter.com/EdMalagaTrillo/status/1380882110576271365,[],[],0,,False,92,7,19,https://twitter.com/Alvaro_Taype/status/1380878096484667395,None,,,,,,,[],,,,,partido_morado
1380881871110815749,1380881871110815749,1618062868000.0,2021-04-10 08:54:28,-500,,"Gracias por esto, Álvaro, viniendo de tí, un médico, espero que a nadie ofenda la crítica. El recambio generacional es urgente y tengo esperanza de q esta nueva generación de médicos no serán los nuevos Mazzettis, Maguiñas, Accinellis, Zamoras, Suárez, Varelas, Gotuzzos y Garcías",es,[],[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,6,8,https://twitter.com/EdMalagaTrillo/status/1380881871110815749,[],[],0,,False,165,2,19,https://twitter.com/Alvaro_Taype/status/1380878099345211393,None,,,,,,,[],,,,,partido_morado
1380757589768736769,1380747241644814336,1618033237000.0,2021-04-10 00:40:37,-500,,"@jorgedlq Voy a escuchar mi mensaje al revés...por si acaso!! 🥶 Fuerte abrazo, Jorge!!",es,[],[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,6,0,https://twitter.com/EdMalagaTrillo/status/1380757589768736769,[],[],0,,False,12,1,0,,None,,,,,,,"[{'screen_name': 'jorgedlq', 'name': 'Jorge De La Quintana', 'id': '226580746'}]",,,,,partido_morado
1380747241644814336,1380747241644814336,1618030770000.0,2021-04-09 23:59:30,-500,, https://t.co/fQtfclt2mE,und,[],[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,5,23,https://twitter.com/EdMalagaTrillo/status/1380747241644814336,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1380747127371001856/pu/img/HENA_-iRkLzhIfcM.jpg,False,2782,149,465,,None,,,,,,,[],,,,,partido_morado
1380741483981066241,1380741483981066241,1618029397000.0,2021-04-09 23:36:37,-500,,"Y la número 24, la razón que lo inició todo, por la que regresé al país y por la que seguiré dando lo mejor de mí  #SinCienciaNoHayFuturo #NoTeRindasPerú  Gracias por acompañarme!  https://t.co/tY9Ygh9rKY",es,"['sinciencianohayfuturo', 'noterindasperú']",[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,5,23,https://twitter.com/EdMalagaTrillo/status/1380741483981066241,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1380741439504662531/pu/img/X4Y8aST4yYyAvKl1.jpg,False,311,7,51,,None,,,,,,,[],,,,,partido_morado
1380740787474939904,1380736035307597825,1618029231000.0,2021-04-09 23:33:51,-500,,"@eduito Jajajaja, lo Max!!!",es,[],[],119945574,119945574,EdMalagaTrillo,Ed Málaga-Trillo,5,23,https://twitter.com/EdMalagaTrillo/status/1380740787474939904,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'eduito', 'name': 'Eduardo F.', 'id': '26088472'}]",,,,,partido_morado
