id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,political_party
1364933212003254273,1364933212003254273,1614260411000.0,2021-02-25 08:40:11,-500,,"✏️Conversando con Flavio Cruz. 🗓 Viernes, 26 de febrero ⏱ 08:00 p.m. 💻 Google Meet  https://t.co/wGRbjVT7MA",es,[],[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,4,8,https://twitter.com/flaviocruzmaman/status/1364933212003254273,[],['https://pbs.twimg.com/media/EvE3eN0XcAQDjyj.jpg'],1,https://pbs.twimg.com/media/EvE3eN0XcAQDjyj.jpg,False,0,0,0,,None,,,,,,,[],,,,,peru_libre
1358618707522686978,1358618707522686978,1612754916000.0,2021-02-07 22:28:36,-500,,Invitación: Inauguración de Local de Campaña. 🗓 Lunes 08 de febrero 📌Jr. El Maestro 893 (Barrio Túpac Amaru) Juliaca ⏰ 16:00 horas 📲 Transmisión por Facebook Live #PeruLibre #pedrocastillopresidente #FlavioCruzMamanialCongreso #numero1  #Puno  ✊Fuerza nacida del pueblo✊  https://t.co/9ubS1QkYik,es,"['perulibre', 'pedrocastillopresidente', 'flaviocruzmamanialcongreso', 'numero1', 'puno']",[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,7,22,https://twitter.com/flaviocruzmaman/status/1358618707522686978,[],['https://pbs.twimg.com/media/EtrIcW6XAAAOpm7.jpg'],1,https://pbs.twimg.com/media/EtrIcW6XAAAOpm7.jpg,False,0,0,0,,None,,,,,,,[],,,,,peru_libre
1358091009985556483,1358091009985556483,1612629103000.0,2021-02-06 11:31:43,-500,,Invitación: Inauguración de Local de Campaña. 🗓 Sábado 06 de febrero 📌Av Floral 1130 (Frente a la UNA Puno) ⏰ 16:00 horas 📲 Transmisión por Facebook Live #PeruLibre #pedrocastillopresidente #FlavioCruzMamanialCongreso #numero1 #NoMasPobresEnUnPaísRico #Puno #NuevaConstitucion  https://t.co/TrCBN9kFcz,es,"['perulibre', 'pedrocastillopresidente', 'flaviocruzmamanialcongreso', 'numero1', 'nomaspobresenunpaísrico', 'puno', 'nuevaconstitucion']",[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,6,11,https://twitter.com/flaviocruzmaman/status/1358091009985556483,[],['https://pbs.twimg.com/media/Etjog1iXUAEbsAk.jpg'],1,https://pbs.twimg.com/media/Etjog1iXUAEbsAk.jpg,False,0,0,0,,None,,,,,,,[],,,,,peru_libre
1357829115403984902,1357829115403984902,1612566663000.0,2021-02-05 18:11:03,-500,,Feliz 146° Aniversario Provincia de Sandia. #146AniversarioSandia #flaviocruzmamani  https://t.co/cPS6ItdE0K  https://t.co/zEJ4mvtCBK,pt,"['146aniversariosandia', 'flaviocruzmamani']",[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,5,18,https://twitter.com/flaviocruzmaman/status/1357829115403984902,['http://www.munisandia.gob.pe/'],['https://pbs.twimg.com/media/Etf6WvtXMAA1YdS.jpg'],1,https://pbs.twimg.com/media/Etf6WvtXMAA1YdS.jpg,False,0,0,0,,None,,,,,,,[],,,,,peru_libre
1357828996478754816,1357828996478754816,1612566634000.0,2021-02-05 18:10:34,-500,,Feliz 146° Aniversario Provincia de Carabaya. #146AniversarioCarabaya  #flaviocruzmamani   https://t.co/tnnAUz9dEH  https://t.co/1iA34LLYH0,es,"['146aniversariocarabaya', 'flaviocruzmamani']",[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,5,18,https://twitter.com/flaviocruzmaman/status/1357828996478754816,['http://www.municarabaya.gob.pe'],['https://pbs.twimg.com/media/Etf6PFzXAAA1oDu.jpg'],1,https://pbs.twimg.com/media/Etf6PFzXAAA1oDu.jpg,False,0,0,0,,None,,,,,,,[],,,,,peru_libre
1357666224642150400,1357666224642150400,1612527826000.0,2021-02-05 07:23:46,-500,,Oficina Virtual 📱 979733753 #PerúLibre #PedroCastilloPresidente #FlavioCruzMamaniAlCongreso #Número1 #NoMasPobresEnUnPaísRico #Puno #NuevaConstitución  1️⃣✏ ✊Hasta más allá de la victoria✊  https://t.co/mo3JMUmQRn,es,"['perúlibre', 'pedrocastillopresidente', 'flaviocruzmamanialcongreso', 'número1', 'nomaspobresenunpaísrico', 'puno', 'nuevaconstitución']",[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,5,7,https://twitter.com/flaviocruzmaman/status/1357666224642150400,[],['https://pbs.twimg.com/media/EtdmLnwWYAAVnEV.jpg'],1,https://pbs.twimg.com/media/EtdmLnwWYAAVnEV.jpg,False,0,0,0,,None,,,,,,,[],,,,,peru_libre
1354083101790638084,1354083101790638084,1611673543000.0,2021-01-26 10:05:43,-500,,"""El lápiz simboliza la educación, único instrumento de la verdadera liberación de los pueblos"".  #PerúLibre #PedroCastilloPresidente #FlavioCruzMamaniAlCongreso #Número1 #NoMasPobresEnUnPaísRico #Puno #NuevaConstitución  1️⃣✏ ✊Hasta más allá de la victoria✊  https://t.co/FGeAtmmnsr",es,"['perúlibre', 'pedrocastillopresidente', 'flaviocruzmamanialcongreso', 'número1', 'nomaspobresenunpaísrico', 'puno', 'nuevaconstitución']",[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,2,10,https://twitter.com/flaviocruzmaman/status/1354083101790638084,[],['https://pbs.twimg.com/media/EsqrZEyXYAIKi_m.jpg'],1,https://pbs.twimg.com/media/EsqrZEyXYAIKi_m.jpg,False,1,0,0,,None,,,,,,,[],,,,,peru_libre
1354077563413540878,1354077563413540878,1611672223000.0,2021-01-26 09:43:43,-500,,"""HOMENAJE A LOS MÁRTIRES DEL PERIODISMO PERUANO"" Hoy se cumplen 38 años del masacre de periodistas en Uchuraccay, hechos que jamás se deben olvidar, por un mundo más solidario y para no repetir historias.  https://t.co/IiMysKUsCU",es,[],[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,2,9,https://twitter.com/flaviocruzmaman/status/1354077563413540878,[],['https://pbs.twimg.com/media/EsqmWyTW8AANXgA.jpg'],1,https://pbs.twimg.com/media/EsqmWyTW8AANXgA.jpg,False,1,0,0,,None,,,,,,,[],,,,,peru_libre
1352813731571503105,1352813731571503105,1611370902000.0,2021-01-22 22:01:42,-500,,"DESAFÍOS GLOBALES,  a nueva normalidad.  Conducción: • Flavio Cruz Mamani • René Choque Alave 🗓 Sábado, 23 de enero ⏰ 08:00 horas 📲 Transmisión por Facebook Live  https://t.co/KmFmZYTjIB",es,[],[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,5,22,https://twitter.com/flaviocruzmaman/status/1352813731571503105,[],['https://pbs.twimg.com/media/EsYo5D5XMAAsPwG.jpg'],1,https://pbs.twimg.com/media/EsYo5D5XMAAsPwG.jpg,False,1,1,0,,None,,,,,,,[],,,,,peru_libre
1350382581150322694,1350382581150322694,1610791270000.0,2021-01-16 05:01:10,-500,,"¡Estamos de Vuelta! Con tu programa favorito:  DESAFÍOS GLOBALES,  la nueva normalidad.  Conducción: • Flavio Cruz Mamani • René Choque Alave  https://t.co/04tAwKHBg2",es,[],[],1074109765,1074109765,flaviocruzmaman,Flavio Cruz Mamani,6,5,https://twitter.com/flaviocruzmaman/status/1350382581150322694,[],['https://pbs.twimg.com/media/Er2FygkXUAEIQ1v.jpg'],1,https://pbs.twimg.com/media/Er2FygkXUAEIQ1v.jpg,False,1,1,1,,None,,,,,,,[],,,,,peru_libre
